FIELD NAME ,FIELD TYPE ,FIELD WIDTH ,FIELD DEFINITION ,FIELD DOMAIN 
YOUNG_DRIVER ,Number ,4,Number of 18-25 year old young drivers involved in the crash. ,  
ALCOHOL_RELATED ,Text ,3,"Alcohol Related Crashes BAC>0.001 and road user type=driver,rider,cyclist,pedestrian ","Yes, No "
UNLICENCSED ,Number ,4,Unlicensed Drivers(road_user_type= driver & License Type =7 OR License Status< /> 9 and V Valid and Not Applicable) ,"(1) Yes, (0) No "
NO_OF_VEHICLES ,Number ,4,Number of vehicles involved in the crash. ,  
HEAVYVEHICLE ,Number ,4,Number of heavy vehicles involved in the crash. ,  
PASSENGERVEHICLE ,Number ,4,Number of passenger vehicles involved in the crash. ,  
MOTORCYCLE ,Number ,4,Number of motorcycles involved in the crash. ,  
PUBLICVEHICLE ,Number ,4,Number of Public Transport Vehicles (primarily trams and buses) involved in the crash. ,  
DEG_URBAN_NAME ,Text ,40,DEG_URBAN_NAME provides the type of urbanised area for the crash site. ,"Country, Large Provincial Cities, Metropolitan CBD Only, Metropolitan Excluding CBD, Other Towns, Small Provincial Cities, Small Towns. "
DEG_URBAN_ALL ,Text ,250,"DEG_URBAN_ALL provides the type of urbanised area for the crash site in more detail. In some cases where a crash occurred on a border, several names will occur. ","Country, Large Provincial Cities, Large Provincial Cities Country Parts, Metropolitan CBD Only, Metropolitan Excluding CBD, Metropolitan Excluding CBD Country Parts, Metropolitan Excluding CBD Metropolitan CBD Only, Other Towns, Other Towns Country Parts, Small Provincial Cities, Small Provincial Cities Country Parts, Small Towns, Small Towns Country Small Provincial Cities, Small Towns Metropolitan Excluding CBD, Small Towns Small Provincial Cities. "
LGA_NAME_ALL ,Text ,250,"LGA_NAME_ALL is a character field contains the name of the Local Government Area (LGA) in which the crash occurred. In some cases where a crash occurred on a border, several LGA names will occur. Unincorporated areas (usually Alpine resorts) will occur in brackets. ",ALPINE to YARRIAMBIACK. 
REGION_NAME_ALL ,Text ,250,"REGION_NAME_ALL is a character field contains the name of the VicRoads region in which the crash occurred. In some cases, where a crash occurred on a border, several VicRoads region names will occur. ","EASTERN REGION, METROPOLITAN NORTH WEST REGION, METROPOLITAN SOUTH EAST REGION, NORTH EASTERN REGION, NORTHERN REGION, SOUTH WESTERN REGION, WESTERN REGION. "
SRNS ,Text ,1,"Road on which the crash occurred classified by the Statewide Route Numbering Scheme (SRNS). 'M' roads provide a consistent high standard of driving conditions, with divided carriageways, four traffic lanes, sealed shoulders and line marking that is easily visible in all weather conditions. 'A' roads provide a similar high standard of driving conditions on a single carriageway. 'B' roads are sealed roads, wide enough for two traffic lines, with good centre line and edge line marking, shoulders, and a high standard of guidepost delineation. 'C' roads are generally two lane sealed roads with shoulders. Other roads are not classified. ","M, A, B, C, blank. "
SRNS_ALL ,Text ,10,Road on which the crash occurred classified by the Statewide Route Numbering Scheme (SRNS) with those occurring at junctions reflecting both types ,"M, A, B, C, blank. and combinations "
RMA_ALL ,Text ,250,Road Management Act road classification. With crashes occurring at junctions of road types providing combinations of types. ,"Arterial Highway, Arterial Other, Freeway, Local Road, Non Arterial, Blank (not classified, recorded or known). "
DIVIDED ,Text ,9,DIVIDED is a character field that should indicate whether the crash occurred on a divided portion of road. ,Undivided. 
DIVIDED_ALL ,Text ,10,DIVIDED_ALL is a character field that should indicate whether the crash occurred on a divided portion of road. ,Undivided. 
STAT_DIV_NAME ,Text ,40,STAT_DIV_NAME is a character field indicating the Metro Melbourne or Country region where the crash occurred. ,"Metro, Country. "
RMA ,Text ,255,Road Management Act (2004) classification ,(FW) Freeway / (AH) Arterial - Highway / (AO) Arterial - other / (LO) Local road / (NR) Non-Arterial State road / (RO) Roads Other / (PR) Committed Proposed road 
ALCOHOLTIME ,Text ,80,Incidents occurred within Road Crash Information System Definition of Alcohol Times ,Alcohol Times are defined as the following: • Monday – Thursday 00:00-06:00 hours & 18:00-2359 hours • Friday 00:00-06:00 hours & 16:00-23:59 hours • Saturday 00:00-08:00 hours & 14:00-23:59 hours • Sunday 00:00-10:00 hours & 16:00-23:59 hours. 
LATITUDE ,Text ,100,Geographical coordinates ,  
